Código,Nome,Enderezo,Concello,Provincia,Cód. postal,Teléfono,Tipo de centro,COORDENADA_X,COORDENADA_Y,TITULARIDADE,ENSINO_CONCERTADO,DEPENDENTE
36025001,CPREX Gándara International School,Rúa Moureira 1,Gondomar,Pontevedra,36388,,CPREX,42.108154296875,-8.772629737854004,Privada,Non,Non
36025013,CEIP Manuel Padín Truiteiro,Rúa Arcade de Arriba s/nº,Soutomaior,Pontevedra,36690,986700049,CEIP,42.33821487426758,-8.599884986877441,Pública,Non,Si
36025025,EMUSPR Escola de Música de Vilatuxe,Edificio Auditorio Vilatuxe s/nº,Lalín,Pontevedra,36519,,EMUSPR,42.605281829833984,-8.190128326416016,Privada,Non,Non
36025037,CPR Plurilingüe Las Acacias-Montecastelo,Rúa Doctor Paz Pardo 84,Vigo,Pontevedra,36214,986412488,CPR,42.212791442871094,-8.694458961486816,Privada,Si,Non
36025050,CEMU Superior Galival Music,Lugar Auditorio Municipal (Lugar de Ferreirós) 1 A,Valga,Pontevedra,36647,698904668,CEMU,42.69883346557617,-8.685522079467773,Privada,Non,Non
36025062,CPR Premir,Rúa Gagos de Mendoza 8,Pontevedra,Pontevedra,36001,986847214,CPR,42.427921295166016,-8.647123336791992,Privada,Non,Non
36025074,EMUSPR de Agolada,"Polígono Industrial de Merlín, Casa Amarela s/n",Agolada,Pontevedra,36520,,EMUSPR,42.77140426635742,-8.023757934570312,Privada,Non,Non
36025086,EMUSPR de Barro,Lugar  Perdecanai (Santa María),Barro,Pontevedra,36194,647769008,EMUSPR,42.53374481201172,-8.633020401000977,Privada,Non,Non
36025098,EMUSPR Escola de Música de Ribadumia,Rúa Loureiro s/n,Ribadumia,Pontevedra,36636,686352098,EMUSPR,0.0,0.0,Privada,Non,Non
36025104,CEEPR Amencer-Aspace,"Camiño Arieiro (polígono 102, parcela 700) 144",Vigo,Pontevedra,36214,986597500,CEEPR,0.0,0.0,Privada,Si,Non
36025116,EMUSPR Escola de Música Ateneo Musical de Bembrive,Alameda  do Torreiro s/n - Bembrive s/n,Vigo,Pontevedra,36313,,EMUSPR,0.0,0.0,Privada,Non,Non
36025128,CEMU Profesional Unión Musical de Valadares,Estrada Xeral de Valadares 233,Vigo,Pontevedra,36315,,CEMU,0.0,0.0,Privada,Non,Non
36025131,EMUSPR Staccato,Rúa da Paz 10 baixo,Cangas,Pontevedra,36940,,EMUSPR,0.0,0.0,Privada,Non,Non
